Universidade,Estado,Curso,Peso_Humanas,Peso_Linguagens,Peso_Redacao,Peso_Matematica,Peso_Ciencias_Natureza,Nota_Corte_Aprox
UFAC,Acre,Educação Física,1.5,1.5,1.5,1,2,560
UFAC,Acre,Geografia,2,2,1.5,1.5,1.5,545
UFAC,Acre,História,3,2,2,1,1,550
UFAC,Acre,Letras,2.5,3,2,1,1,520
UFAC,Acre,Matemática,1,1,1,3,2,540
UFAC,Acre,Pedagogia,2,2,2,1,1,510
UFAC,Acre,Química,1,1,1,2.5,3,535
UFAC,Acre,Biologia,1.5,1.5,1.5,1.5,3,545
UFAC,Acre,Física,1,1,1,3,2.5,530
UFAC,Acre,Jornalismo,2,3,2.5,1,1,555
UFAL,Alagoas,Serviço Social,2.5,2,2,1,1,580
UFAL,Alagoas,Educação Física,1.5,1.5,1.5,1,2,565
UFAL,Alagoas,Geografia,2,2,1.5,1.5,1.5,550
UFAL,Alagoas,História,3,2,2,1,1,555
UFAL,Alagoas,Letras,2.5,3,2,1,1,525
UFAL,Alagoas,Matemática,1,1,1,3,2,545
UFAL,Alagoas,Pedagogia,2,2,2,1,1,515
UFAL,Alagoas,Química,1,1,1,2.5,3,540
UFAL,Alagoas,Biologia,1.5,1.5,1.5,1.5,3,550
UFAL,Alagoas,Física,1,1,1,3,2.5,535
UNEAL,Alagoas,Pedagogia,2,2,2,1,1,505
UNEAL,Alagoas,Letras,2.5,3,2,1,1,515
UNEAL,Alagoas,História,3,2,2,1,1,540
UNEAL,Alagoas,Geografia,2,2,1.5,1.5,1.5,535
UNEAL,Alagoas,Matemática,1,1,1,3,2,530
UFAP,Amapá,Educação Física,1.5,1.5,1.5,1,2,555
UFAP,Amapá,Geografia,2,2,1.5,1.5,1.5,540
UFAP,Amapá,História,3,2,2,1,1,545
UFAP,Amapá,Letras,2.5,3,2,1,1,520
UFAP,Amapá,Matemática,1,1,1,3,2,535
UFAP,Amapá,Pedagogia,2,2,2,1,1,510
UFAP,Amapá,Química,1,1,1,2.5,3,530
UFAP,Amapá,Biologia,1.5,1.5,1.5,1.5,3,540
UFAP,Amapá,Turismo,2,2,1.5,1.5,1.5,525
UFAP,Amapá,Ciências Sociais,2.5,2,2,1,1,535
UEA,Amazonas,Geografia,2,2,1.5,1.5,1.5,545
UEA,Amazonas,História,3,2,2,1,1,550
UEA,Amazonas,Letras,2.5,3,2,1,1,525
UEA,Amazonas,Matemática,1,1,1,3,2,540
UEA,Amazonas,Pedagogia,2,2,2,1,1,515
UEA,Amazonas,Química,1,1,1,2.5,3,535
UEA,Amazonas,Biologia,1.5,1.5,1.5,1.5,3,545
UEA,Amazonas,Física,1,1,1,3,2.5,530
UEA,Amazonas,Educação Física,1.5,1.5,1.5,1,2,560
UEA,Amazonas,Turismo,2,2,1.5,1.5,1.5,530
UNIR,Rondônia,Educação Física,1.5,1.5,1.5,1,2,555
UNIR,Rondônia,Geografia,2,2,1.5,1.5,1.5,540
UNIR,Rondônia,História,3,2,2,1,1,545
UNIR,Rondônia,Letras,2.5,3,2,1,1,520
UNIR,Rondônia,Matemática,1,1,1,3,2,535
UNIR,Rondônia,Pedagogia,2,2,2,1,1,510
UNIR,Rondônia,Química,1,1,1,2.5,3,530
UNIR,Rondônia,Biologia,1.5,1.5,1.5,1.5,3,540
UNIR,Rondônia,Sistemas de Informação,1,1,1.5,3,2,550
UNIR,Rondônia,Zootecnia,1,1,1,2,3,525
UFRR,Roraima,Educação Física,1.5,1.5,1.5,1,2,550
UFRR,Roraima,Geografia,2,2,1.5,1.5,1.5,535
UFRR,Roraima,História,3,2,2,1,1,540
UFRR,Roraima,Letras,2.5,3,2,1,1,515
UFRR,Roraima,Matemática,1,1,1,3,2,530
UFRR,Roraima,Pedagogia,2,2,2,1,1,505
UFRR,Roraima,Química,1,1,1,2.5,3,525
UFRR,Roraima,Biologia,1.5,1.5,1.5,1.5,3,535
UFRR,Roraima,Física,1,1,1,3,2.5,525
UFRR,Roraima,Ciências Sociais,2.5,2,2,1,1,530
UFT,Tocantins,Educação Física,1.5,1.5,1.5,1,2,565
UFT,Tocantins,Geografia,2,2,1.5,1.5,1.5,550
UFT,Tocantins,História,3,2,2,1,1,555
